diameter,number of times
35.0,1
16.0,2
88.0,1
42.0,1
24.0,3
200.0,1
175.0,1
34.0,1
36.5,2
32.5,1
55.5,1
19.5,2
148.5,1
261.5,1
20.0,1
29.5,3
30.5,1
356.0,1
53.0,1
40.0,1
484.5,1
20.5,1
228.0,1
28.0,1
18.5,2
203.5,1
272.5,1
222.0,2
128.0,1
240.5,1
150.5,1
785.0,1
27.0,1
52.0,1
210.5,1
22.0,2
119.5,2
140.0,1
62.0,1
180.0,1
93.5,1
15.5,1
113.0,1
46.0,1
314.5,1
42.5,1
22.5,1
33.5,1
73.5,1
142.5,1
470.0,1
154.5,1
15.0,1
55.0,1
18.0,1
83.0,1
23.5,3
60.5,1
12.5,1
230.0,1
478.5,1
90.5,1
31.0,1
202.0,1
92.0,1
98.0,1
14.5,1
154.0,1
34.5,1
219.0,1
268.5,1
23.0,1
50.5,1
143.0,1
25.0,1
99.0,1
27.5,1
28.5,1
12.0,1
53.5,1
57.5,1
113.5,1
82.5,1
139.0,1
86.5,1
302.0,2
38.0,1
247.5,1
97.0,1
345.0,1
40.5,1
71.0,1
249.0,1
